Date,Product Name,Quantity
2022-01-11,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-01-11,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2022-01-13,Food Fairy Mini Feta & Coriander Samosas x 8,3
2022-01-13,Food Fairy Mini Feta &amp; Coriander Samosas x 8,3
2022-01-14,Food Fairy Mini Feta & Coriander Samosas x 8,2
2022-01-14,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2022-01-17,Food Fairy Mini Feta & Coriander Samosas x 8,2
2022-01-17,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2022-01-19,Food Fairy Mini Feta & Coriander Samosas x 8,3
2022-01-19,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2022-01-20,Food Fairy Mini Feta & Coriander Samosas x 8,4
2022-01-20,Food Fairy Mini Feta &amp; Coriander Samosas x 8,4
2022-01-21,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-01-21,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2022-01-22,Food Fairy Mini Feta & Coriander Samosas x 8,2
2022-01-22,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2022-01-25,Food Fairy Mini Feta & Coriander Samosas x 8,8
2022-01-25,Food Fairy Mini Feta &amp; Coriander Samosas x 8,8
2022-01-27,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-01-27,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2022-01-29,Food Fairy Mini Feta & Coriander Samosas x 8,3
2022-01-29,Food Fairy Mini Feta &amp; Coriander Samosas x 8,3
2022-01-30,Food Fairy Mini Feta & Coriander Samosas x 8,2
2022-01-30,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2022-01-31,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-01-31,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2022-02-01,Food Fairy Mini Feta & Coriander Samosas x 8,3
2022-02-01,Food Fairy Mini Feta &amp; Coriander Samosas x 8,3
2022-02-03,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-02-03,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2022-02-04,Food Fairy Mini Feta & Coriander Samosas x 8,3
2022-02-04,Food Fairy Mini Feta &amp; Coriander Samosas x 8,3
2022-02-05,Food Fairy Mini Feta & Coriander Samosas x 8,2
2022-02-05,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2022-02-07,Food Fairy Mini Feta & Coriander Samosas x 8,3
2022-02-07,Food Fairy Mini Feta &amp; Coriander Samosas x 8,3
2022-02-08,Food Fairy Mini Feta & Coriander Samosas x 8,2
2022-02-08,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2022-02-10,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-02-10,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2022-02-12,Food Fairy Mini Feta & Coriander Samosas x 8,2
2022-02-12,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2022-02-13,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-02-13,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2022-02-14,Food Fairy Mini Feta & Coriander Samosas x 8,2
2022-02-14,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2022-02-15,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-02-15,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2022-02-17,Food Fairy Mini Feta & Coriander Samosas x 8,2
2022-02-17,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2022-02-18,Food Fairy Mini Feta & Coriander Samosas x 8,2
2022-02-18,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2022-02-21,Food Fairy Mini Feta & Coriander Samosas x 8,2
2022-02-21,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2022-02-22,Food Fairy Mini Feta & Coriander Samosas x 8,2
2022-02-22,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2022-02-23,Food Fairy Mini Feta & Coriander Samosas x 8,3
2022-02-23,Food Fairy Mini Feta &amp; Coriander Samosas x 8,3
2022-02-24,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-02-24,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2022-02-26,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-02-26,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2022-02-27,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-02-27,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2022-02-28,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-02-28,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2022-03-01,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-03-01,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2022-03-03,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-03-03,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2022-03-04,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2022-03-05,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2022-03-06,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2022-03-07,Food Fairy Mini Feta &amp; Coriander Samosas x 8,3
2022-03-10,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2022-03-12,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2022-03-15,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2022-03-16,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2022-03-17,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2022-03-19,Food Fairy Mini Feta &amp; Coriander Samosas x 8,4
2022-03-21,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2022-03-25,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2022-03-26,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2022-03-29,Food Fairy Mini Feta &amp; Coriander Samosas x 8,5
2022-03-31,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2022-04-01,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2022-04-02,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2022-04-08,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2022-04-09,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2022-04-12,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2022-04-15,Food Fairy Mini Feta & Coriander Samosas x 8,2
2022-04-19,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-04-20,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-04-22,Food Fairy Mini Feta & Coriander Samosas x 8,2
2022-04-23,Food Fairy Mini Feta & Coriander Samosas x 8,2
2022-04-24,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-04-25,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-04-26,Food Fairy Mini Feta & Coriander Samosas x 8,3
2022-04-29,Food Fairy Mini Feta & Coriander Samosas x 8,2
2022-04-30,Food Fairy Mini Feta & Coriander Samosas x 8,3
2022-05-02,Food Fairy Mini Feta & Coriander Samosas x 8,2
2022-05-06,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-05-10,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-05-13,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-05-14,Food Fairy Mini Feta & Coriander Samosas x 8,3
2022-05-16,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-05-17,Food Fairy Mini Feta & Coriander Samosas x 8,2
2022-05-18,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-05-21,Food Fairy Mini Feta & Coriander Samosas x 8,2
2022-05-22,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-05-26,Food Fairy Mini Feta & Coriander Samosas x 8,4
2022-05-27,Food Fairy Mini Feta & Coriander Samosas x 8,3
2022-05-31,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-06-01,Food Fairy Mini Feta & Coriander Samosas x 8,2
2022-06-03,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-06-04,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-06-05,Food Fairy Mini Feta & Coriander Samosas x 8,2
2022-06-08,Food Fairy Mini Feta & Coriander Samosas x 8,8
2022-06-11,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-06-15,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-06-18,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-06-19,Food Fairy Mini Feta & Coriander Samosas x 8,2
2022-06-24,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-06-25,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-06-27,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-06-30,Food Fairy Mini Feta & Coriander Samosas x 8,2
2022-07-03,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-07-06,Food Fairy Mini Feta & Coriander Samosas x 8,5
2022-07-07,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-07-10,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-07-11,Food Fairy Mini Feta & Coriander Samosas x 8,2
2022-07-14,Food Fairy Mini Feta & Coriander Samosas x 8,2
2022-07-15,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-07-18,Food Fairy Mini Feta & Coriander Samosas x 8,2
2022-07-20,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-07-21,Food Fairy Mini Feta & Coriander Samosas x 8,2
2022-07-27,Food Fairy Mini Feta & Coriander Samosas x 8,3
2022-07-29,Food Fairy Mini Feta & Coriander Samosas x 8,3
2022-08-04,Food Fairy Mini Feta & Coriander Samosas x 8,2
2022-08-05,Food Fairy Mini Feta & Coriander Samosas x 8,5
2022-08-10,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-08-11,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-08-13,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-08-20,Food Fairy Mini Feta & Coriander Samosas x 8,2
