Date,Product Name,Quantity
2020-07-15,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2020-07-17,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),4
2020-07-21,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2020-07-24,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),3
2020-07-27,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2020-07-29,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),4
2020-07-30,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2020-08-03,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2020-08-05,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),4
2020-08-07,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),12
2020-08-10,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2020-08-11,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),3
2020-08-12,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2020-08-14,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),3
2020-08-17,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2020-08-18,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),3
2020-08-21,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2020-08-24,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2020-08-28,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2020-09-03,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),5
2020-09-05,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2020-09-07,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),5
2020-09-08,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),3
2020-09-11,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),3
2020-09-14,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2020-09-15,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),3
2020-09-17,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),8
2020-09-18,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2020-09-21,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),4
2020-09-22,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
