Date,Product Name,Quantity
2021-03-02,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,3
2021-03-03,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,4
2021-03-05,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,2
2021-03-06,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,2
2021-03-15,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,5
2021-03-17,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,6
2021-04-09,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,5
2021-04-13,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,2
2021-04-14,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,1
2021-04-16,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,3
2021-04-19,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,3
2021-04-21,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,3
2021-04-24,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,6
2021-04-30,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,11
2021-05-08,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,1
2021-05-10,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,4
2021-05-11,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,9
2021-05-13,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,1
2021-05-21,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,4
2021-05-27,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,2
2021-06-04,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,1
2021-06-07,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,2
2021-06-16,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,6
2021-06-24,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,11
2021-06-24,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,3
2021-06-25,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,2
2021-06-28,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,4
2021-06-30,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2021-07-04,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,5
2021-07-07,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2021-07-08,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2021-07-09,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,4
2021-07-11,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,3
2021-07-14,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,6
2021-07-17,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,7
2021-07-22,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,7
2021-07-23,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2021-07-28,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,3
2021-07-29,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,3
2021-08-03,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,5
2021-08-06,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,5
