Date,Product Name,Quantity
2023-08-24,Healthy Kajuju Coconut & Seed Muesli,1
2023-08-29,Healthy Kajuju Coconut & Seed Muesli,3
2023-08-30,Healthy Kajuju Coconut & Seed Muesli,1
2023-08-31,Healthy Kajuju Coconut & Seed Muesli - 500g,4
2023-09-01,Healthy Kajuju Coconut & Seed Muesli,2
2023-09-04,Healthy Kajuju Coconut & Seed Muesli - 500g,2
2023-09-06,Healthy Kajuju Coconut & Seed Muesli - 500g,1
2023-09-10,Healthy Kajuju Coconut & Seed Muesli - 500g,1
2023-09-11,Healthy Kajuju Coconut & Seed Muesli - 500g,1
2023-09-13,Healthy Kajuju Coconut & Seed Muesli - 500g,2
2023-09-17,Healthy Kajuju Coconut & Seed Muesli - 500g,2
2023-09-18,Healthy Kajuju Coconut & Seed Muesli - 500g,1
2023-09-21,Healthy Kajuju Coconut & Seed Muesli - 500g,1
2023-09-24,Healthy Kajuju Coconut & Seed Muesli - 500g,2
2023-09-25,Healthy Kajuju Coconut & Seed Muesli - 500g,1
2023-09-27,Healthy Kajuju Coconut & Seed Muesli - 500g,1
2023-09-29,Healthy Kajuju Coconut & Seed Muesli - 500g,2
2023-10-01,Healthy Kajuju Coconut & Seed Muesli - 500g,2
2023-10-02,Healthy Kajuju Coconut & Seed Muesli - 500g,3
2023-10-10,Healthy Kajuju Coconut & Seed Muesli - 500g,3
2023-10-13,Healthy Kajuju Coconut & Seed Muesli - 500g,1
2023-10-22,Healthy Kajuju Coconut & Seed Muesli - 500g,1
2023-10-25,Healthy Kajuju Coconut & Seed Muesli - 500g,1
2023-10-26,Healthy Kajuju Coconut & Seed Muesli - 500g,1
2023-10-29,Healthy Kajuju Coconut & Seed Muesli - 500g,1
2023-10-31,Healthy Kajuju Coconut & Seed Muesli - 500g,1
2023-11-03,Healthy Kajuju Coconut & Seed Muesli - 500g,1
2023-11-10,Healthy Kajuju Coconut & Seed Muesli - 500g,1
2023-11-14,Healthy Kajuju Coconut & Seed Muesli - 500g,1
2023-11-17,Healthy Kajuju Coconut & Seed Muesli - 500g,1
